stop_id,stop_name,stop_lat,stop_lon,district_name,population,pop_density_sqkm
averts.hockey.woof,10th District (Al Hay Al Asher) - Nasr City,30.04905,31.378641,,,
fermented.roosters.slacker,10th District (Al Hay Al Asher) - Nasr City,30.048353,31.379913,,,
gravitate.singled.plus,10th District (Al Hay Al Asher) - Nasr City,30.049362,31.379839,,,
iterative.sloping.down,10th District (Al Hay Al Asher) - Nasr City,30.048904,31.37905,,,
repelled.face.stubble,10th District (Al Hay Al Asher) - Nasr City,30.049112,31.379221,,,
tinny.regulator.flies,10th District (Al Hay Al Asher) - Nasr City,30.048347,31.380026,,,
dabbled.outboard.thinking,10th of Ramadan (Asher Men Ramadan) Station,30.154938,31.408575,,,
emeralds.hooks.lifestyle,10th of Ramadan (Asher Men Ramadan) Station,30.152508,31.409582,,,
opened.sulk.motorist,10th of Ramadan (Asher Men Ramadan) Station,30.155607,31.409208,,,
passage.loaning.camera,10th of Ramadan (Asher Men Ramadan) Station,30.15377,31.409103,,,
timer.nursery.tingled,10th of Ramadan (Asher Men Ramadan) Station,30.153675,31.410835,,,
wimp.formation.tuck,10th of Ramadan (Asher Men Ramadan) Station,30.154081,31.407724,,,
shred.trickster.snuggle,10th of Ramadan Station - Ismailiya Desert Road,30.147972,31.420414,,,
splashes.cooking.nowadays,10th of Ramadan Station - Ismailiya Desert Road,30.148579,31.422678,,,
stole.makeup.giggles,10th of Ramadan Station - Ismailiya Desert Road,30.147804,31.420515,,,
tonal.shopper.campus,10th of Ramadan Station - Ismailiya Desert Road,30.14778,31.420828,,,
awestruck.channel.january,15th of May Bus Station,29.810863,31.378103,,,
gifts.aliens.stud,15th of May City Authority,29.826609,31.36399,,,
taxpayers.reject.hugs,15th of May City Authority,29.826471,31.364233,,,
punctual.hurls.crumble,15th of May School - Mostorod,30.132105,31.282913,,,
police.watchdogs.cucumber,15th of May Youth Forum,29.831581,31.37835,,,
view.epic.access,15th of May Youth Forum,29.83146,31.378393,,,
army.slug.commenced,1st Settlement City Authority,30.052122,31.448147,New Cairo City,5712885.0,15000.0
army.slug.commenced,1st Settlement City Authority,30.052122,31.448147,New Cairo City,5712885.0,15000.0
army.slug.commenced,1st Settlement City Authority,30.052122,31.448147,New Cairo City,5712885.0,15000.0
army.slug.commenced,1st Settlement City Authority,30.052122,31.448147,New Cairo City,5712885.0,15000.0
kebab.corrupted.slipping,26th of July Mehwar Exit -  Ring Road,30.063845,31.17437,,,
gymnasium.cuts.bucket,3rd Settlement (Tagamoa Thaleth),29.984001,31.44291,New Cairo City,5712885.0,15000.0
gymnasium.cuts.bucket,3rd Settlement (Tagamoa Thaleth),29.984001,31.44291,New Cairo City,5712885.0,15000.0
gymnasium.cuts.bucket,3rd Settlement (Tagamoa Thaleth),29.984001,31.44291,New Cairo City,5712885.0,15000.0
gymnasium.cuts.bucket,3rd Settlement (Tagamoa Thaleth),29.984001,31.44291,New Cairo City,5712885.0,15000.0
lamplight.withdraw.vent,4th Neighbourhood Council - 15th of May,29.837914,31.376825,,,
truth.pairings.acids,4th Neighbourhood Council - 15th of May,29.838324,31.377798,,,
moment.tearfully.exulted,5th Settlement City Authority,29.993052,31.417614,New Cairo City,5712885.0,15000.0
moment.tearfully.exulted,5th Settlement City Authority,29.993052,31.417614,New Cairo City,5712885.0,15000.0
moment.tearfully.exulted,5th Settlement City Authority,29.993052,31.417614,New Cairo City,5712885.0,15000.0
moment.tearfully.exulted,5th Settlement City Authority,29.993052,31.417614,New Cairo City,5712885.0,15000.0
guidebook.mango.stiletto,6th Of October City Authority,29.98265,30.952312,,,
autumn.hopes.juggler,6th of October Garden - Helwan,29.840557,31.329374,,,
mission.stove.convinces,6th of October Garden - Helwan,29.840384,31.32946,,,
breathing.tricky.pinches,7th District Entrance - 6th of October,29.979986,30.94955,,,
bleat.clan.surfacing,7th District Station (Hay Al Sabea) - Nasr City,30.041986,31.329441,,,
fidgeting.lurching.photocopy,7th District Ststion (Hay Al Sabea) - Nasr City,30.042004,31.329632,,,
monk.committee.ripe,8th District (Nasr City),30.061419,31.380318,,,
sprays.otherwise.producing,8th District (Nasr City),30.058132,31.379868,,,
broadens.stolen.exhaled,8th District - Al Shorouq,30.163885,31.605515,,,
yoga.startles.fits,8th District - Al Shorouq,30.163864,31.605375,,,
plotter.disposing.flashback,Aba Al Kassem Mosque - Autostrad,29.932928,31.288082,,,
rejoiced.flatten.waffle,Aba Al Kassem Mosque - Autostrad,29.933023,31.288227,,,
breed.dimension.streak,Abageyya Bridge,30.01218,31.267265,,,
handbag.butternut.permanent,Abageyya Bus Station,30.02391,31.263676,,,
lecturers.lyrics.response,Abageyya Bus Station,30.023933,31.263577,,,
craftsman.printouts.facelift,Abbas Al Akkad - Mostafa Al Nahas,30.053728,31.338633,,,
order.cope.bypassed,Abbas Al Akkad - Mostafa Al Nahas,30.053904,31.338608,,,
claim.sizzled.essential,Abbaseya Bridge - Start,30.070488,31.28931,,,
conforms.refilled.scored,Abbaseya Bridge - Start,30.070402,31.28925,,,
digs.parsnip.bill,Abbaseya Bridge - Start,30.07054,31.289373,,,
hopping.towel.acre,Abbaseya Hospital,30.071064,31.294222,,,
shares.flitting.lingering,Abbaseya Hospital,30.070976,31.29467,,,
depravity.alarm.nuptials,Abbasseya,30.073334,31.284698,,,
intruders.absorb.puncture,Abbasseya,30.073181,31.28507,,,
outermost.scratches.lows,Abbasseya,30.07275,31.285551,,,
sheds.blush.dentures,Abbasseya,30.072866,31.285946,,,
ulterior.bathtubs.charm,Abbasseya,30.07252,31.28438,,,
skid.themes.jumbled,Abbasseya Bridge - End,30.075361,31.283716,,,
circulate.flasks.plotted,Abbasseya Hospital,30.068739,31.29217,,,
cocoons.voices.rigid,Abbasseya Square,30.073889,31.285383,,,
recline.mandolin.salt,Abbasseya Square,30.074091,31.285456,,,
driftwood.galloped.fact,Abboud,30.103725,31.256844,,,
fracture.trickling.squad,Abboud,30.104753,31.255299,,,
pace.liberated.blotches,Abboud,30.104794,31.255758,,,
pedicure.cobbled.flops,Abboud,30.106146,31.253862,,,
speak.altitude.wonderful,Abboud,30.105207,31.255527,,,
survive.basic.crafts,Abboud,30.104145,31.253746,,,
undercuts.watched.tonsils,Abboud,30.103617,31.255857,,,
automate.spirits.stale,Abd Al Moneim Riad,30.049492,31.231245,,,
deny.revised.demotion,Abd Al Moneim Riad,30.050043,31.233923,,,
informal.husky.canyons,Abd Al Moneim Riad,30.05,31.233063,,,
modifies.silent.scoring,Abd Al Moneim Riad,30.050419,31.23375,,,
perfected.exit.transcribes,Abd Al Moneim Riad,30.049557,31.234692,,,
quantity.sunset.cookie,Abd Al Moneim Riad,30.04867,31.232645,,,
quit.applies.ribcage,Abd Al Moneim Riad,30.050127,31.233873,,,
scrambles.flukes.spaces,Abd Al Moneim Riad,30.049494,31.231836,,,
vibe.aunts.shudders,Abd Al Moneim Riad,30.049524,31.234486,,,
finer.coolest.client,Abd El Aziz St - Ataba,30.050024,31.251093,,,
thunder.reckons.deleting,Abd El Aziz St - Ataba,30.049429,31.250246,,,
bookcases.message.area,Abdeen,30.04115,31.245586,,,
converged.beefed.credit,Abdel Menaam Reyad Mosque - Nile Courniche,29.937511,31.276367,,,
sank.helm.stupidly,Abdel Menaam Reyad Mosque - Nile Courniche,29.937572,31.276457,,,
doses.stammer.slicing,Abdo Basha,30.06539,31.27671,,,
happy.wizard.panicking,Abdo Basha,30.065369,31.276976,,,
airtime.liberty.durations,Abdullah Al Othaym - Nile Courniche,29.882502,31.289268,,,
contain.permanent.youths,Abdullah Al Othaym - Nile Courniche,29.88251,31.289392,,,
dodging.viewers.infringe,Abdullah El Refaey,30.160072,31.355534,,,
multiply.dented.bookcases,Abdullah El Refaey,30.160095,31.355633,,,
scrum.overgrown.resist,Abo Senna Steps,30.155146,31.229029,,,
storybook.blaring.buns,Abo Senna Steps,30.155176,31.229177,,,
romance.putty.reset,Abo Sir Steps - Ring Road,30.164656,31.388388,,,
foiled.conqueror.passports,Abou Al Farag St- Rod Al Farag St,30.081596,31.236872,,,
birthdays.paves.rocks,Abou Al Majd Center - Mostorod,30.126974,31.28783,,,
continues.raves.rezoning,Abou Al Majd Center - Mostorod,30.12676,31.289162,,,
influence.dumplings.vibe,Abou Al Majd Center - Mostorod,30.126623,31.289328,,,
insulated.outline.ember,Abou Al Majd Center - Mostorod,30.126709,31.287874,,,
sharpens.throwaway.texts,Abou Al Nomros Police Station,29.95806,31.212864,,,
agrees.query.submits,Abou Al Reesh,30.028622,31.234652,,,
emporium.palms.sends,Abou Al Reesh,30.029097,31.237198,,,
hurricane.deferring.ideas,Abou Al Reesh,30.028427,31.236984,,,
redeemed.mingles.solves,Abou Al Reesh,30.028738,31.23476,,,
televise.optimally.outwards,Abou Al Reesh,30.028158,31.237354,,,
bordering.sprouting.videos,Abou Wafya Bridge,30.095621,31.26601,,,
clockwork.nickname.solid,Abou Wafya Bus Station,30.09778,31.255991,,,
drivers.event.hexes,Abou Wafya Bus Station,30.097773,31.25611,,,
dweller.apparatus.tenses,Abou Wafya Bus Station,30.09737,31.255863,,,
angers.kept.cadet,Abou Zaabal Bridge,30.197258,31.318819,,,
