stop_id,stop_name,stop_lat,stop_lon,district_name,population,pop_density_sqkm,daily_trips_count,avg_headway_secs
averts.hockey.woof,10th District (Al Hay Al Asher) - Nasr City,30.04905,31.378641,,,,54,4731.666666666667
fermented.roosters.slacker,10th District (Al Hay Al Asher) - Nasr City,30.048353,31.379913,,,,36,4950.75
gravitate.singled.plus,10th District (Al Hay Al Asher) - Nasr City,30.049362,31.379839,,,,9,2363.0
iterative.sloping.down,10th District (Al Hay Al Asher) - Nasr City,30.048904,31.37905,,,,117,3557.923076923077
repelled.face.stubble,10th District (Al Hay Al Asher) - Nasr City,30.049112,31.379221,,,,81,3104.1111111111113
tinny.regulator.flies,10th District (Al Hay Al Asher) - Nasr City,30.048347,31.380026,,,,9,1348.0
dabbled.outboard.thinking,10th of Ramadan (Asher Men Ramadan) Station,30.154938,31.408575,,,,27,1316.6666666666667
emeralds.hooks.lifestyle,10th of Ramadan (Asher Men Ramadan) Station,30.152508,31.409582,,,,108,4526.833333333333
opened.sulk.motorist,10th of Ramadan (Asher Men Ramadan) Station,30.155607,31.409208,,,,18,2558.5
passage.loaning.camera,10th of Ramadan (Asher Men Ramadan) Station,30.15377,31.409103,,,,153,4213.470588235294
timer.nursery.tingled,10th of Ramadan (Asher Men Ramadan) Station,30.153675,31.410835,,,,99,3108.0
wimp.formation.tuck,10th of Ramadan (Asher Men Ramadan) Station,30.154081,31.407724,,,,9,4734.0
shred.trickster.snuggle,10th of Ramadan Station - Ismailiya Desert Road,30.147972,31.420414,,,,153,4049.0
splashes.cooking.nowadays,10th of Ramadan Station - Ismailiya Desert Road,30.148579,31.422678,,,,54,2921.6666666666665
stole.makeup.giggles,10th of Ramadan Station - Ismailiya Desert Road,30.147804,31.420515,,,,126,3608.0
tonal.shopper.campus,10th of Ramadan Station - Ismailiya Desert Road,30.14778,31.420828,,,,162,4113.0
awestruck.channel.january,15th of May Bus Station,29.810863,31.378103,,,,90,4138.8
gifts.aliens.stud,15th of May City Authority,29.826609,31.36399,,,,9,6099.0
taxpayers.reject.hugs,15th of May City Authority,29.826471,31.364233,,,,9,6099.0
punctual.hurls.crumble,15th of May School - Mostorod,30.132105,31.282913,,,,99,4986.545454545455
police.watchdogs.cucumber,15th of May Youth Forum,29.831581,31.37835,,,,27,4990.0
view.epic.access,15th of May Youth Forum,29.83146,31.378393,,,,27,5222.0
army.slug.commenced,1st Settlement City Authority,30.052122,31.448147,New Cairo City,5712885.0,15000.0,9,670.0
army.slug.commenced,1st Settlement City Authority,30.052122,31.448147,New Cairo City,5712885.0,15000.0,9,670.0
army.slug.commenced,1st Settlement City Authority,30.052122,31.448147,New Cairo City,5712885.0,15000.0,9,670.0
army.slug.commenced,1st Settlement City Authority,30.052122,31.448147,New Cairo City,5712885.0,15000.0,9,670.0
kebab.corrupted.slipping,26th of July Mehwar Exit -  Ring Road,30.063845,31.17437,,,,72,3395.0
gymnasium.cuts.bucket,3rd Settlement (Tagamoa Thaleth),29.984001,31.44291,New Cairo City,5712885.0,15000.0,9,300.0
gymnasium.cuts.bucket,3rd Settlement (Tagamoa Thaleth),29.984001,31.44291,New Cairo City,5712885.0,15000.0,9,300.0
gymnasium.cuts.bucket,3rd Settlement (Tagamoa Thaleth),29.984001,31.44291,New Cairo City,5712885.0,15000.0,9,300.0
gymnasium.cuts.bucket,3rd Settlement (Tagamoa Thaleth),29.984001,31.44291,New Cairo City,5712885.0,15000.0,9,300.0
lamplight.withdraw.vent,4th Neighbourhood Council - 15th of May,29.837914,31.376825,,,,27,5262.0
truth.pairings.acids,4th Neighbourhood Council - 15th of May,29.838324,31.377798,,,,36,4426.25
moment.tearfully.exulted,5th Settlement City Authority,29.993052,31.417614,New Cairo City,5712885.0,15000.0,9,5678.0
moment.tearfully.exulted,5th Settlement City Authority,29.993052,31.417614,New Cairo City,5712885.0,15000.0,9,5678.0
moment.tearfully.exulted,5th Settlement City Authority,29.993052,31.417614,New Cairo City,5712885.0,15000.0,9,5678.0
moment.tearfully.exulted,5th Settlement City Authority,29.993052,31.417614,New Cairo City,5712885.0,15000.0,9,5678.0
guidebook.mango.stiletto,6th Of October City Authority,29.98265,30.952312,,,,9,146.0
autumn.hopes.juggler,6th of October Garden - Helwan,29.840557,31.329374,,,,63,4369.714285714285
mission.stove.convinces,6th of October Garden - Helwan,29.840384,31.32946,,,,90,5462.5
breathing.tricky.pinches,7th District Entrance - 6th of October,29.979986,30.94955,,,,9,146.0
bleat.clan.surfacing,7th District Station (Hay Al Sabea) - Nasr City,30.041986,31.329441,,,,153,6168.529411764706
fidgeting.lurching.photocopy,7th District Ststion (Hay Al Sabea) - Nasr City,30.042004,31.329632,,,,126,6445.642857142857
monk.committee.ripe,8th District (Nasr City),30.061419,31.380318,,,,108,6975.666666666667
sprays.otherwise.producing,8th District (Nasr City),30.058132,31.379868,,,,72,4380.75
broadens.stolen.exhaled,8th District - Al Shorouq,30.163885,31.605515,,,,18,3048.0
yoga.startles.fits,8th District - Al Shorouq,30.163864,31.605375,,,,9,4734.0
plotter.disposing.flashback,Aba Al Kassem Mosque - Autostrad,29.932928,31.288082,,,,108,2550.9166666666665
rejoiced.flatten.waffle,Aba Al Kassem Mosque - Autostrad,29.933023,31.288227,,,,108,3924.0
breed.dimension.streak,Abageyya Bridge,30.01218,31.267265,,,,189,4286.857142857143
handbag.butternut.permanent,Abageyya Bus Station,30.02391,31.263676,,,,144,6075.625
lecturers.lyrics.response,Abageyya Bus Station,30.023933,31.263577,,,,54,4990.666666666667
craftsman.printouts.facelift,Abbas Al Akkad - Mostafa Al Nahas,30.053728,31.338633,,,,81,6665.555555555556
order.cope.bypassed,Abbas Al Akkad - Mostafa Al Nahas,30.053904,31.338608,,,,81,7195.555555555556
